Point ID,arc_length,div(phi),magR,momentError_0,momentError_1,momentError_2,momentError_Magnitude,nut,nuTilda,p,Points_0,Points_1,Points_2,Points_Magnitude,turbulenceProperties:devReff_0,turbulenceProperties:devReff_1,turbulenceProperties:devReff_2,turbulenceProperties:devReff_3,turbulenceProperties:devReff_4,turbulenceProperties:devReff_5,turbulenceProperties:devReff_Magnitude,turbulenceProperties:epsilon,turbulenceProperties:I,turbulenceProperties:k,turbulenceProperties:L,turbulenceProperties:nuEff,turbulenceProperties:nut,turbulenceProperties:R_0,turbulenceProperties:R_1,turbulenceProperties:R_2,turbulenceProperties:R_3,turbulenceProperties:R_4,turbulenceProperties:R_5,turbulenceProperties:R_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
322,0.04508,-0.000117682,1.45925e-05,-1.46297e-07,6.94634e-05,-0.000160751,0.000175117,3.83373e-06,3.52085e-05,-0.160008,0,-0.02492,1,1.00031,1.54413e-06,1.51595e-06,-3.06007e-06,-5.78068e-10,1.57831e-06,-9.45434e-09,4.06665e-06,1.20586e-07,0.00252762,1.25934e-05,0.0609409,1.38337e-05,3.83373e-06,8.8236e-06,8.81564e-06,7.54762e-06,-1.72406e-10,4.32779e-07,-2.6343e-09,1.45851e-05,-2.17257e-06,0.0013711,1.14628,1.14628,1
323,0.04522,-0.000116831,1.46016e-05,-5.47157e-07,6.86771e-05,-0.000160769,0.000174824,3.83553e-06,3.5213e-05,-0.160008,0,-0.02478,1,1.00031,1.54419e-06,1.51647e-06,-3.06066e-06,-6.45462e-10,1.58264e-06,-9.46262e-09,4.06899e-06,1.20728e-07,0.00252846,1.26012e-05,0.0609199,1.38355e-05,3.83553e-06,8.82895e-06,8.82113e-06,7.55235e-06,-1.91577e-10,4.3419e-07,-2.63761e-09,1.45941e-05,-2.17159e-06,0.00136343,1.14626,1.14626,1
324,0.04536,-0.00011598,1.46106e-05,-9.48017e-07,6.78908e-05,-0.000160788,0.000174536,3.83734e-06,3.52175e-05,-0.160008,0,-0.02464,1,1.0003,1.54425e-06,1.517e-06,-3.06125e-06,-7.12855e-10,1.58696e-06,-9.47091e-09,4.07134e-06,1.2087e-07,0.00252931,1.2609e-05,0.0608988,1.38373e-05,3.83734e-06,8.8343e-06,8.82661e-06,7.55709e-06,-2.10747e-10,4.35601e-07,-2.64092e-09,1.46032e-05,-2.17061e-06,0.00135575,1.14624,1.14624,1
325,0.0455,-0.000115129,1.46197e-05,-1.34888e-06,6.71045e-05,-0.000160806,0.000174251,3.83914e-06,3.52219e-05,-0.160008,0,-0.0245,1,1.0003,1.54431e-06,1.51753e-06,-3.06184e-06,-7.80248e-10,1.59129e-06,-9.47919e-09,4.07369e-06,1.21012e-07,0.00253015,1.26168e-05,0.0608777,1.38391e-05,3.83914e-06,8.83965e-06,8.83209e-06,7.56182e-06,-2.29918e-10,4.37012e-07,-2.64423e-09,1.46122e-05,-2.16963e-06,0.00134807,1.14622,1.14622,1
326,0.04564,-0.000114279,1.46287e-05,-1.74974e-06,6.63181e-05,-0.000160825,0.00017397,3.84094e-06,3.52264e-05,-0.160008,0,-0.02436,1,1.0003,1.54437e-06,1.51806e-06,-3.06243e-06,-8.47642e-10,1.59562e-06,-9.48748e-09,4.07605e-06,1.21154e-07,0.00253099,1.26246e-05,0.0608567,1.38409e-05,3.84094e-06,8.84501e-06,8.83757e-06,7.56656e-06,-2.49088e-10,4.38422e-07,-2.64755e-09,1.46213e-05,-2.16864e-06,0.0013404,1.1462,1.1462,1
327,0.04578,-0.000113428,1.46377e-05,-2.15059e-06,6.55319e-05,-0.000160843,0.000173694,3.84274e-06,3.52309e-05,-0.160008,0,-0.02422,1,1.00029,1.54443e-06,1.51859e-06,-3.06302e-06,-9.15034e-10,1.59995e-06,-9.49577e-09,4.07841e-06,1.21296e-07,0.00253184,1.26324e-05,0.0608356,1.38427e-05,3.84274e-06,8.85036e-06,8.84306e-06,7.57129e-06,-2.68258e-10,4.39833e-07,-2.65086e-09,1.46303e-05,-2.16766e-06,0.00133272,1.14618,1.14618,1
328,0.04592,-0.000113353,1.46364e-05,-2.45366e-06,6.47517e-05,-0.000160839,0.000173401,3.84942e-06,3.5247e-05,-0.160007,0,-0.02408,1,1.00029,1.54508e-06,1.51944e-06,-3.06452e-06,-9.47758e-10,1.59447e-06,-9.48763e-09,4.07795e-06,1.21275e-07,0.00253175,1.26312e-05,0.0608364,1.38494e-05,3.84942e-06,8.85028e-06,8.84303e-06,7.56901e-06,-2.77936e-10,4.38726e-07,-2.65156e-09,1.4629e-05,-2.15993e-06,0.00132509,1.14617,1.14617,1
329,0.04606,-0.000113569,1.46313e-05,-2.7201e-06,6.39738e-05,-0.000160826,0.000173104,3.85792e-06,3.52676e-05,-0.160007,0,-0.02394,1,1.00029,1.54595e-06,1.52041e-06,-3.06636e-06,-9.67496e-10,1.58533e-06,-9.47335e-09,4.07646e-06,1.21192e-07,0.00253132,1.26266e-05,0.0608454,1.38579e-05,3.85792e-06,8.84816e-06,8.84093e-06,7.56409e-06,-2.84059e-10,4.36675e-07,-2.65128e-09,1.46239e-05,-2.14968e-06,0.00131747,1.14616,1.14616,1
330,0.0462,-0.000113786,1.46261e-05,-2.98654e-06,6.31958e-05,-0.000160813,0.00017281,3.86643e-06,3.52882e-05,-0.160007,0,-0.0238,1,1.00028,1.54682e-06,1.52138e-06,-3.0682e-06,-9.87234e-10,1.57618e-06,-9.45907e-09,4.07499e-06,1.21109e-07,0.00253089,1.2622e-05,0.0608544,1.38664e-05,3.86643e-06,8.84604e-06,8.83883e-06,7.55918e-06,-2.90181e-10,4.34624e-07,-2.651e-09,1.46187e-05,-2.13942e-06,0.00130986,1.14614,1.14614,1
331,0.04634,-0.000114002,1.46209e-05,-3.25297e-06,6.24179e-05,-0.0001608,0.00017252,3.87494e-06,3.53088e-05,-0.160007,0,-0.02366,1,1.00028,1.54769e-06,1.52235e-06,-3.07004e-06,-1.00697e-09,1.56704e-06,-9.44479e-09,4.07354e-06,1.21027e-07,0.00253046,1.26175e-05,0.0608634,1.38749e-05,3.87494e-06,8.84392e-06,8.83674e-06,7.55427e-06,-2.96304e-10,4.32573e-07,-2.65073e-09,1.46136e-05,-2.12917e-06,0.00130224,1.14613,1.14613,1
