Point ID,arc_length,div(phi),magR,momentError_0,momentError_1,momentError_2,momentError_Magnitude,nu,nut,nuTilda,p,Points_0,Points_1,Points_2,Points_Magnitude,turbulenceProperties:devReff_0,turbulenceProperties:devReff_1,turbulenceProperties:devReff_2,turbulenceProperties:devReff_3,turbulenceProperties:devReff_4,turbulenceProperties:devReff_5,turbulenceProperties:devReff_Magnitude,turbulenceProperties:epsilon,turbulenceProperties:I,turbulenceProperties:k,turbulenceProperties:L,turbulenceProperties:nuEff,turbulenceProperties:nut,turbulenceProperties:R_0,turbulenceProperties:R_1,turbulenceProperties:R_2,turbulenceProperties:R_3,turbulenceProperties:R_4,turbulenceProperties:R_5,turbulenceProperties:R_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
11,0.00154,-2.39151e-09,9.85793e-08,-1.22001e-06,-1.65036e-06,-5.7913e-06,6.14421e-06,0.00544742,1.17909e-09,0,9.16457,0,-0.06846,1,1.00234,-5.32008e-09,-2.2933e-08,2.8253e-08,1.86439e-07,-0.31173,1.84278e-08,0.31173,0,0,0,0,0.00544742,1.17909e-09,-1.32302e-15,-2.08852e-15,3.41152e-15,3.77423e-14,-6.94873e-08,0,6.94873e-08,-5.11882e-08,2.7171e-09,0.0873902,0.0873902,1
12,0.00168,-2.5449e-09,8.91262e-08,-1.25051e-06,-1.4901e-06,-5.92299e-06,6.23426e-06,0.00544964,1.06602e-09,0,9.16457,0,-0.06832,1,1.00233,-5.25054e-09,-2.41446e-08,2.93951e-08,1.87607e-07,-0.311015,1.77324e-08,0.311015,0,0,0,0,0.00544964,1.06602e-09,-1.19615e-15,-1.88824e-15,3.08438e-15,3.41231e-14,-6.2824e-08,0,6.2824e-08,-5.58418e-08,2.96411e-09,0.095335,0.095335,1
13,0.00182,-2.69827e-09,7.96737e-08,-1.281e-06,-1.32984e-06,-6.05468e-06,6.32997e-06,0.00545186,9.52963e-10,0,9.16457,0,-0.06818,1,1.00232,-5.18101e-09,-2.53561e-08,3.05371e-08,1.88776e-07,-0.3103,1.7037e-08,0.3103,0,0,0,0,0.00545186,9.52963e-10,-1.06929e-15,-1.68798e-15,2.75726e-15,3.05041e-14,-5.6161e-08,0,5.6161e-08,-6.04952e-08,3.21111e-09,0.103279,0.103279,1
14,0.00196,-2.85165e-09,7.02206e-08,-1.3115e-06,-1.16957e-06,-6.18637e-06,6.4311e-06,0.00545408,8.39897e-10,0,9.16457,0,-0.06804,1,1.00231,-5.11147e-09,-2.65677e-08,3.16792e-08,1.89944e-07,-0.309585,1.63416e-08,0.309585,0,0,0,0,0.00545408,8.39897e-10,-9.4242e-16,-1.4877e-15,2.43011e-15,2.68848e-14,-4.94976e-08,0,4.94976e-08,-6.51488e-08,3.45813e-09,0.111224,0.111224,1
15,0.0021,-3.00503e-09,6.07681e-08,-1.34199e-06,-1.00931e-06,-6.31805e-06,6.53739e-06,0.00545629,7.26836e-10,0,9.16457,0,-0.0679,1,1.0023,-5.04194e-09,-2.77792e-08,3.28212e-08,1.91112e-07,-0.30887,1.56462e-08,0.30887,0,0,0,0,0.0054563,7.26836e-10,-8.15559e-16,-1.28744e-15,2.10299e-15,2.32658e-14,-4.28346e-08,0,4.28346e-08,-6.98022e-08,3.70513e-09,0.119169,0.119169,1
16,0.00224,-3.15841e-09,5.1315e-08,-1.37249e-06,-8.49037e-07,-6.44975e-06,6.6486e-06,0.00545851,6.1377e-10,0,9.16457,0,-0.06776,1,1.00229,-4.97241e-09,-2.89908e-08,3.39632e-08,1.9228e-07,-0.308155,1.49508e-08,0.308155,0,0,0,0,0.00545852,6.1377e-10,-6.88691e-16,-1.08717e-15,1.77585e-15,1.96466e-14,-3.61713e-08,0,3.61713e-08,-7.44558e-08,3.95215e-09,0.127113,0.127113,1
17,0.00238,-3.31178e-09,4.18624e-08,-1.40299e-06,-6.88776e-07,-6.58143e-06,6.76447e-06,0.00546073,5.00709e-10,0,9.16457,0,-0.06762,1,1.00228,-4.90287e-09,-3.02024e-08,3.51052e-08,1.93448e-07,-0.30744,1.42554e-08,0.30744,0,0,0,0,0.00546073,5.00709e-10,-5.61829e-16,-8.86903e-16,1.44873e-15,1.60275e-14,-2.95083e-08,0,2.95083e-08,-7.91091e-08,4.19915e-09,0.135058,0.135058,1
18,0.00252,-3.46517e-09,3.24094e-08,-1.43348e-06,-5.28507e-07,-6.71313e-06,6.88478e-06,0.00546295,3.87643e-10,0,9.16457,0,-0.06748,1,1.00227,-4.83334e-09,-3.1414e-08,3.62473e-08,1.94616e-07,-0.306725,1.356e-08,0.306725,0,0,0,0,0.00546295,3.87643e-10,-4.34961e-16,-6.86629e-16,1.12159e-15,1.24083e-14,-2.28449e-08,0,2.28449e-08,-8.37627e-08,4.44617e-09,0.143002,0.143002,1
19,0.00266,-3.61854e-09,2.29568e-08,-1.46398e-06,-3.68247e-07,-6.84481e-06,7.0093e-06,0.00546517,2.74582e-10,0,9.16457,0,-0.06734,1,1.00226,-4.76381e-09,-3.26255e-08,3.73893e-08,1.95784e-07,-0.30601,1.28647e-08,0.30601,0,0,0,0,0.00546517,2.74582e-10,-3.081e-16,-4.86366e-16,7.94463e-16,8.78929e-15,-1.6182e-08,0,1.6182e-08,-8.84161e-08,4.69317e-09,0.150947,0.150947,1
20,0.0028,-3.77192e-09,1.35037e-08,-1.49447e-06,-2.07978e-07,-6.9765e-06,7.13781e-06,0.00546739,1.61516e-10,0,9.16457,0,-0.0672,1,1.00226,-4.69427e-09,-3.38371e-08,3.85314e-08,1.96953e-07,-0.305295,1.21693e-08,0.305295,0,0,0,0,0.00546739,1.61516e-10,-1.81232e-16,-2.86092e-16,4.67322e-16,5.17007e-15,-9.51861e-09,0,9.51861e-09,-9.30697e-08,4.94019e-09,0.158892,0.158892,1
