Point ID,arc_length,div(phi),magR,momentError_0,momentError_1,momentError_2,momentError_Magnitude,nu,nut,nuTilda,p,Points_0,Points_1,Points_2,Points_Magnitude,turbulenceProperties:devReff_0,turbulenceProperties:devReff_1,turbulenceProperties:devReff_2,turbulenceProperties:devReff_3,turbulenceProperties:devReff_4,turbulenceProperties:devReff_5,turbulenceProperties:devReff_Magnitude,turbulenceProperties:epsilon,turbulenceProperties:I,turbulenceProperties:k,turbulenceProperties:L,turbulenceProperties:nuEff,turbulenceProperties:nut,turbulenceProperties:R_0,turbulenceProperties:R_1,turbulenceProperties:R_2,turbulenceProperties:R_3,turbulenceProperties:R_4,turbulenceProperties:R_5,turbulenceProperties:R_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
223,0.03122,-1.74525e-08,0,-1.01212e-05,4.45779e-06,-2.41446e-05,2.65569e-05,0.00595844,0,0,9.16457,0,-0.03878,1,1.00075,-3.38772e-08,-2.15733e-07,2.4961e-07,1.31623e-07,-0.188173,2.14136e-07,0.188173,0,0,0,0,0.00595844,0,0,0,0,0,0,0,0,-1.01642e-06,4.28812e-07,1.41072,1.41072,1
224,0.03136,-1.76254e-08,0,-1.00473e-05,4.43608e-06,-2.38288e-05,2.62381e-05,0.00596227,0,0,9.16457,0,-0.03864,1,1.00075,-3.38306e-08,-2.15342e-07,2.49173e-07,1.3112e-07,-0.187562,2.13059e-07,0.187562,0,0,0,0,0.00596227,0,0,0,0,0,0,0,0,-1.01776e-06,4.3089e-07,1.41421,1.41421,1
225,0.0315,-1.77982e-08,0,-9.97334e-06,4.41437e-06,-2.3513e-05,2.59194e-05,0.00596609,0,0,9.16457,0,-0.0385,1,1.00074,-3.37839e-08,-2.14952e-07,2.48735e-07,1.30616e-07,-0.186952,2.11982e-07,0.186952,0,0,0,0,0.00596609,0,0,0,0,0,0,0,0,-1.0191e-06,4.32969e-07,1.41771,1.41771,1
226,0.03164,-1.79711e-08,0,-9.8994e-06,4.39266e-06,-2.31972e-05,2.56008e-05,0.00596991,0,0,9.16457,0,-0.03836,1,1.00074,-3.37373e-08,-2.14561e-07,2.48298e-07,1.30113e-07,-0.186341,2.10906e-07,0.186341,0,0,0,0,0.00596991,0,0,0,0,0,0,0,0,-1.02045e-06,4.35047e-07,1.4212,1.4212,1
227,0.03178,-1.8144e-08,0,-9.82546e-06,4.37095e-06,-2.28814e-05,2.52824e-05,0.00597374,0,0,9.16457,0,-0.03822,1,1.00073,-3.36906e-08,-2.14171e-07,2.47861e-07,1.2961e-07,-0.18573,2.09829e-07,0.18573,0,0,0,0,0.00597374,0,0,0,0,0,0,0,0,-1.02179e-06,4.37125e-07,1.42469,1.42469,1
228,0.03192,-1.83168e-08,0,-9.75152e-06,4.34924e-06,-2.25656e-05,2.49642e-05,0.00597756,0,0,9.16457,0,-0.03808,1,1.00072,-3.3644e-08,-2.13781e-07,2.47424e-07,1.29107e-07,-0.18512,2.08752e-07,0.18512,0,0,0,0,0.00597756,0,0,0,0,0,0,0,0,-1.02313e-06,4.39203e-07,1.42818,1.42818,1
229,0.03206,-1.84897e-08,0,-9.67759e-06,4.32753e-06,-2.22498e-05,2.46462e-05,0.00598138,0,0,9.16457,0,-0.03794,1,1.00072,-3.35974e-08,-2.1339e-07,2.46987e-07,1.28604e-07,-0.184509,2.07676e-07,0.184509,0,0,0,0,0.00598138,0,0,0,0,0,0,0,0,-1.02447e-06,4.41281e-07,1.43167,1.43167,1
230,0.0322,-1.86626e-08,0,-9.60365e-06,4.30582e-06,-2.1934e-05,2.43284e-05,0.00598521,0,0,9.16457,0,-0.0378,1,1.00071,-3.35507e-08,-2.13e-07,2.4655e-07,1.281e-07,-0.183899,2.06599e-07,0.183899,0,0,0,0,0.00598521,0,0,0,0,0,0,0,0,-1.02582e-06,4.4336e-07,1.43517,1.43517,1
231,0.03234,-1.88354e-08,0,-9.52971e-06,4.28411e-06,-2.16182e-05,2.40107e-05,0.00598903,0,0,9.16457,0,-0.03766,1,1.00071,-3.35041e-08,-2.12609e-07,2.46113e-07,1.27597e-07,-0.183288,2.05523e-07,0.183288,0,0,0,0,0.00598903,0,0,0,0,0,0,0,0,-1.02716e-06,4.45438e-07,1.43866,1.43866,1
232,0.03248,-1.90083e-08,0,-9.45577e-06,4.2624e-06,-2.13024e-05,2.36933e-05,0.00599285,0,0,9.16457,0,-0.03752,1,1.0007,-3.34575e-08,-2.12219e-07,2.45676e-07,1.27094e-07,-0.182677,2.04446e-07,0.182677,0,0,0,0,0.00599285,0,0,0,0,0,0,0,0,-1.0285e-06,4.47516e-07,1.44215,1.44215,1
233,0.03262,-1.91812e-08,0,-9.38184e-06,4.24069e-06,-2.09866e-05,2.3376e-05,0.00599668,0,0,9.16457,0,-0.03738,1,1.0007,-3.34108e-08,-2.11829e-07,2.45239e-07,1.26591e-07,-0.182067,2.03369e-07,0.182067,0,0,0,0,0.00599668,0,0,0,0,0,0,0,0,-1.02984e-06,4.49594e-07,1.44564,1.44564,1
234,0.03276,-1.9354e-08,0,-9.3079e-06,4.21898e-06,-2.06708e-05,2.3059e-05,0.0060005,0,0,9.16457,0,-0.03724,1,1.00069,-3.33642e-08,-2.11438e-07,2.44802e-07,1.26088e-07,-0.181456,2.02293e-07,0.181456,0,0,0,0,0.0060005,0,0,0,0,0,0,0,0,-1.03119e-06,4.51673e-07,1.44913,1.44913,1
235,0.0329,-1.95269e-08,0,-9.23396e-06,4.19727e-06,-2.0355e-05,2.27422e-05,0.00600432,0,0,9.16457,0,-0.0371,1,1.00069,-3.33175e-08,-2.11048e-07,2.44365e-07,1.25584e-07,-0.180846,2.01216e-07,0.180846,0,0,0,0,0.00600432,0,0,0,0,0,0,0,0,-1.03253e-06,4.53751e-07,1.45262,1.45262,1
236,0.03304,-1.96998e-08,0,-9.16002e-06,4.17556e-06,-2.00392e-05,2.24257e-05,0.00600815,0,0,9.16457,0,-0.03696,1,1.00068,-3.32709e-08,-2.10657e-07,2.43928e-07,1.25081e-07,-0.180235,2.0014e-07,0.180235,0,0,0,0,0.00600815,0,0,0,0,0,0,0,0,-1.03387e-06,4.55829e-07,1.45612,1.45612,1
237,0.03318,-1.98726e-08,0,-9.08609e-06,4.15386e-06,-1.97234e-05,2.21094e-05,0.00601197,0,0,9.16457,0,-0.03682,1,1.00068,-3.32243e-08,-2.10267e-07,2.43491e-07,1.24578e-07,-0.179624,1.99063e-07,0.179624,0,0,0,0,0.00601197,0,0,0,0,0,0,0,0,-1.03522e-06,4.57907e-07,1.45961,1.45961,1
238,0.03332,-2.00455e-08,0,-9.01215e-06,4.13215e-06,-1.94076e-05,2.17933e-05,0.00601579,0,0,9.16457,0,-0.03668,1,1.00067,-3.31776e-08,-2.09877e-07,2.43054e-07,1.24075e-07,-0.179014,1.97986e-07,0.179014,0,0,0,0,0.00601579,0,0,0,0,0,0,0,0,-1.03656e-06,4.59985e-07,1.4631,1.4631,1
239,0.03346,-2.02184e-08,0,-8.93821e-06,4.11044e-06,-1.90918e-05,2.14776e-05,0.00601962,0,0,9.16457,0,-0.03654,1,1.00067,-3.3131e-08,-2.09486e-07,2.42617e-07,1.23572e-07,-0.178403,1.9691e-07,0.178403,0,0,0,0,0.00601962,0,0,0,0,0,0,0,0,-1.0379e-06,4.62064e-07,1.46659,1.46659,1
240,0.0336,-2.03912e-08,0,-8.86427e-06,4.08873e-06,-1.8776e-05,2.1162e-05,0.00602344,0,0,9.16457,0,-0.0364,1,1.00066,-3.30844e-08,-2.09096e-07,2.4218e-07,1.23068e-07,-0.177793,1.95833e-07,0.177793,0,0,0,0,0.00602344,0,0,0,0,0,0,0,0,-1.03924e-06,4.64142e-07,1.47008,1.47008,1
241,0.03374,-2.05641e-08,0,-8.79033e-06,4.06702e-06,-1.84602e-05,2.08468e-05,0.00602726,0,0,9.16457,0,-0.03626,1,1.00066,-3.30377e-08,-2.08705e-07,2.41743e-07,1.22565e-07,-0.177182,1.94757e-07,0.177182,0,0,0,0,0.00602726,0,0,0,0,0,0,0,0,-1.04059e-06,4.6622e-07,1.47358,1.47358,1
242,0.03388,-2.0737e-08,0,-8.7164e-06,4.04531e-06,-1.81444e-05,2.05319e-05,0.00603109,0,0,9.16457,0,-0.03612,1,1.00065,-3.29911e-08,-2.08315e-07,2.41306e-07,1.22062e-07,-0.176572,1.9368e-07,0.176572,0,0,0,0,0.00603109,0,0,0,0,0,0,0,0,-1.04193e-06,4.68298e-07,1.47707,1.47707,1
243,0.03402,-2.09099e-08,0,-8.64246e-06,4.0236e-06,-1.78286e-05,2.02174e-05,0.00603491,0,0,9.16457,0,-0.03598,1,1.00065,-3.29444e-08,-2.07925e-07,2.40869e-07,1.21559e-07,-0.175961,1.92603e-07,0.175961,0,0,0,0,0.00603491,0,0,0,0,0,0,0,0,-1.04327e-06,4.70377e-07,1.48056,1.48056,1
244,0.03416,-2.10827e-08,0,-8.56852e-06,4.00189e-06,-1.75128e-05,1.99031e-05,0.00603874,0,0,9.16457,0,-0.03584,1,1.00064,-3.28978e-08,-2.07534e-07,2.40432e-07,1.21056e-07,-0.17535,1.91527e-07,0.17535,0,0,0,0,0.00603874,0,0,0,0,0,0,0,0,-1.04461e-06,4.72455e-07,1.48405,1.48405,1
245,0.0343,-2.12556e-08,0,-8.49458e-06,3.98018e-06,-1.7197e-05,1.95892e-05,0.00604256,0,0,9.16457,0,-0.0357,1,1.00064,-3.28512e-08,-2.07144e-07,2.39995e-07,1.20552e-07,-0.17474,1.9045e-07,0.17474,0,0,0,0,0.00604256,0,0,0,0,0,0,0,0,-1.04596e-06,4.74533e-07,1.48754,1.48754,1
246,0.03444,-2.14285e-08,0,-8.42064e-06,3.95847e-06,-1.68813e-05,1.92757e-05,0.00604638,0,0,9.16457,0,-0.03556,1,1.00063,-3.28045e-08,-2.06753e-07,2.39558e-07,1.20049e-07,-0.174129,1.89374e-07,0.174129,0,0,0,0,0.00604638,0,0,0,0,0,0,0,0,-1.0473e-06,4.76611e-07,1.49103,1.49103,1
247,0.03458,-2.16013e-08,0,-8.34671e-06,3.93676e-06,-1.65655e-05,1.89626e-05,0.00605021,0,0,9.16457,0,-0.03542,1,1.00063,-3.27579e-08,-2.06363e-07,2.39121e-07,1.19546e-07,-0.173519,1.88297e-07,0.173519,0,0,0,0,0.00605021,0,0,0,0,0,0,0,0,-1.04864e-06,4.7869e-07,1.49453,1.49453,1
248,0.03472,-2.17742e-08,0,-8.27277e-06,3.91505e-06,-1.62497e-05,1.86499e-05,0.00605403,0,0,9.16457,0,-0.03528,1,1.00062,-3.27113e-08,-2.05973e-07,2.38684e-07,1.19043e-07,-0.172908,1.8722e-07,0.172908,0,0,0,0,0.00605403,0,0,0,0,0,0,0,0,-1.04999e-06,4.80768e-07,1.49802,1.49802,1
249,0.03486,-2.19471e-08,0,-8.19883e-06,3.89334e-06,-1.59339e-05,1.83376e-05,0.00605785,0,0,9.16457,0,-0.03514,1,1.00062,-3.26646e-08,-2.05582e-07,2.38247e-07,1.18539e-07,-0.172297,1.86144e-07,0.172297,0,0,0,0,0.00605785,0,0,0,0,0,0,0,0,-1.05133e-06,4.82846e-07,1.50151,1.50151,1
250,0.035,-2.21199e-08,0,-8.12489e-06,3.87163e-06,-1.56181e-05,1.80257e-05,0.00606168,0,0,9.16457,0,-0.035,1,1.00061,-3.2618e-08,-2.05192e-07,2.3781e-07,1.18036e-07,-0.171687,1.85067e-07,0.171687,0,0,0,0,0.00606168,0,0,0,0,0,0,0,0,-1.05267e-06,4.84924e-07,1.505,1.505,1
251,0.03514,-2.22928e-08,0,-8.05096e-06,3.84992e-06,-1.53023e-05,1.77144e-05,0.0060655,0,0,9.16457,0,-0.03486,1,1.00061,-3.25713e-08,-2.04801e-07,2.37373e-07,1.17533e-07,-0.171076,1.83977e-07,0.171076,0,0,0,0,0.0060655,0,0,0,0,0,0,0,0,-1.05401e-06,4.87002e-07,1.50849,1.50849,1
252,0.03528,-2.24657e-08,0,-7.97702e-06,3.82822e-06,-1.49865e-05,1.74035e-05,0.00606932,0,0,9.16457,0,-0.03472,1,1.0006,-3.25247e-08,-2.04411e-07,2.36936e-07,1.1703e-07,-0.170466,1.82862e-07,0.170466,0,0,0,0,0.00606932,0,0,0,0,0,0,0,0,-1.05536e-06,4.89081e-07,1.51199,1.51199,1
253,0.03542,-2.26385e-08,0,-7.90308e-06,3.80651e-06,-1.46707e-05,1.70932e-05,0.00607315,0,0,9.16457,0,-0.03458,1,1.0006,-3.24781e-08,-2.04021e-07,2.36499e-07,1.16527e-07,-0.169855,1.81746e-07,0.169855,0,0,0,0,0.00607315,0,0,0,0,0,0,0,0,-1.0567e-06,4.91159e-07,1.51548,1.51548,1
254,0.03556,-2.28114e-08,0,-7.82914e-06,3.7848e-06,-1.43549e-05,1.67834e-05,0.00607697,0,0,9.16457,0,-0.03444,1,1.00059,-3.24314e-08,-2.0363e-07,2.36061e-07,1.16023e-07,-0.169244,1.80631e-07,0.169244,0,0,0,0,0.00607697,0,0,0,0,0,0,0,0,-1.05804e-06,4.93237e-07,1.51897,1.51897,1
255,0.0357,-2.29843e-08,0,-7.7552e-06,3.76309e-06,-1.40391e-05,1.64742e-05,0.00608079,0,0,9.16457,0,-0.0343,1,1.00059,-3.23848e-08,-2.0324e-07,2.35624e-07,1.1552e-07,-0.168634,1.79516e-07,0.168634,0,0,0,0,0.00608079,0,0,0,0,0,0,0,0,-1.05938e-06,4.95315e-07,1.52246,1.52246,1
256,0.03584,-2.31571e-08,0,-7.68127e-06,3.74138e-06,-1.37233e-05,1.61657e-05,0.00608462,0,0,9.16457,0,-0.03416,1,1.00058,-3.23382e-08,-2.02849e-07,2.35187e-07,1.15017e-07,-0.168023,1.78401e-07,0.168023,0,0,0,0,0.00608462,0,0,0,0,0,0,0,0,-1.06073e-06,4.97394e-07,1.52595,1.52595,1
257,0.03598,-2.333e-08,0,-7.60733e-06,3.71967e-06,-1.34075e-05,1.58578e-05,0.00608844,0,0,9.16457,0,-0.03402,1,1.00058,-3.22915e-08,-2.02459e-07,2.3475e-07,1.14514e-07,-0.167413,1.77286e-07,0.167413,0,0,0,0,0.00608844,0,0,0,0,0,0,0,0,-1.06207e-06,4.99472e-07,1.52944,1.52944,1
258,0.03612,-2.35029e-08,0,-7.53339e-06,3.69796e-06,-1.30917e-05,1.55505e-05,0.00609226,0,0,9.16457,0,-0.03388,1,1.00057,-3.22449e-08,-2.02069e-07,2.34313e-07,1.14011e-07,-0.166802,1.76171e-07,0.166802,0,0,0,0,0.00609226,0,0,0,0,0,0,0,0,-1.06341e-06,5.0155e-07,1.53294,1.53294,1
259,0.03626,-2.36757e-08,0,-7.45945e-06,3.67625e-06,-1.27759e-05,1.52441e-05,0.00609609,0,0,9.16457,0,-0.03374,1,1.00057,-3.21982e-08,-2.01678e-07,2.33876e-07,1.13507e-07,-0.166192,1.75056e-07,0.166192,0,0,0,0,0.00609609,0,0,0,0,0,0,0,0,-1.06476e-06,5.03628e-07,1.53643,1.53643,1
260,0.0364,-2.38486e-08,0,-7.38552e-06,3.65454e-06,-1.24601e-05,1.49384e-05,0.00609991,0,0,9.16457,0,-0.0336,1,1.00056,-3.21516e-08,-2.01288e-07,2.33439e-07,1.13004e-07,-0.165581,1.73941e-07,0.165581,0,0,0,0,0.00609991,0,0,0,0,0,0,0,0,-1.0661e-06,5.05706e-07,1.53992,1.53992,1
261,0.03654,-2.40215e-08,0,-7.31158e-06,3.63283e-06,-1.21443e-05,1.46336e-05,0.00610373,0,0,9.16457,0,-0.03346,1,1.00056,-3.2105e-08,-2.00897e-07,2.33002e-07,1.12501e-07,-0.16497,1.72826e-07,0.16497,0,0,0,0,0.00610373,0,0,0,0,0,0,0,0,-1.06744e-06,5.07785e-07,1.54341,1.54341,1
262,0.03668,-2.41943e-08,0,-7.23764e-06,3.61112e-06,-1.18285e-05,1.43296e-05,0.00610756,0,0,9.16457,0,-0.03332,1,1.00055,-3.20583e-08,-2.00507e-07,2.32565e-07,1.11998e-07,-0.16436,1.71711e-07,0.16436,0,0,0,0,0.00610756,0,0,0,0,0,0,0,0,-1.06878e-06,5.09863e-07,1.5469,1.5469,1
263,0.03682,-2.43672e-08,0,-7.1637e-06,3.58941e-06,-1.15127e-05,1.40266e-05,0.00611138,0,0,9.16457,0,-0.03318,1,1.00055,-3.20117e-08,-2.00117e-07,2.32128e-07,1.11495e-07,-0.163749,1.70596e-07,0.163749,0,0,0,0,0.00611138,0,0,0,0,0,0,0,0,-1.07013e-06,5.11941e-07,1.5504,1.5504,1
264,0.03696,-2.45401e-08,0,-7.08977e-06,3.5677e-06,-1.11969e-05,1.37246e-05,0.0061152,0,0,9.16457,0,-0.03304,1,1.00055,-3.19651e-08,-1.99726e-07,2.31691e-07,1.10991e-07,-0.163139,1.69481e-07,0.163139,0,0,0,0,0.0061152,0,0,0,0,0,0,0,0,-1.07147e-06,5.14019e-07,1.55389,1.55389,1
265,0.0371,-2.47129e-08,0,-7.01583e-06,3.54599e-06,-1.08811e-05,1.34237e-05,0.00611903,0,0,9.16457,0,-0.0329,1,1.00054,-3.19184e-08,-1.99336e-07,2.31254e-07,1.10488e-07,-0.162528,1.68366e-07,0.162528,0,0,0,0,0.00611903,0,0,0,0,0,0,0,0,-1.07281e-06,5.16098e-07,1.55738,1.55738,1
266,0.03724,-2.48858e-08,0,-6.94189e-06,3.52429e-06,-1.05653e-05,1.31239e-05,0.00612285,0,0,9.16457,0,-0.03276,1,1.00054,-3.18718e-08,-1.98945e-07,2.30817e-07,1.09985e-07,-0.161917,1.67251e-07,0.161917,0,0,0,0,0.00612285,0,0,0,0,0,0,0,0,-1.07415e-06,5.18176e-07,1.56087,1.56087,1
267,0.03738,-2.50587e-08,0,-6.86795e-06,3.50258e-06,-1.02495e-05,1.28254e-05,0.00612667,0,0,9.16457,0,-0.03262,1,1.00053,-3.18251e-08,-1.98555e-07,2.3038e-07,1.09482e-07,-0.161307,1.66136e-07,0.161307,0,0,0,0,0.00612667,0,0,0,0,0,0,0,0,-1.0755e-06,5.20254e-07,1.56436,1.56436,1
268,0.03752,-2.52316e-08,0,-6.79401e-06,3.48087e-06,-9.93374e-06,1.25281e-05,0.0061305,0,0,9.16457,0,-0.03248,1,1.00053,-3.17785e-08,-1.98165e-07,2.29943e-07,1.08979e-07,-0.160696,1.65021e-07,0.160696,0,0,0,0,0.0061305,0,0,0,0,0,0,0,0,-1.07684e-06,5.22332e-07,1.56785,1.56785,1
269,0.03766,-2.54044e-08,0,-6.72008e-06,3.45916e-06,-9.61795e-06,1.22323e-05,0.00613432,0,0,9.16457,0,-0.03234,1,1.00052,-3.17319e-08,-1.97774e-07,2.29506e-07,1.08475e-07,-0.160086,1.63906e-07,0.160086,0,0,0,0,0.00613432,0,0,0,0,0,0,0,0,-1.07818e-06,5.2441e-07,1.57135,1.57135,1
270,0.0378,-2.55773e-08,0,-6.64614e-06,3.43745e-06,-9.30215e-06,1.19381e-05,0.00613814,0,0,9.16457,0,-0.0322,1,1.00052,-3.16852e-08,-1.97384e-07,2.29069e-07,1.07972e-07,-0.159475,1.62791e-07,0.159475,0,0,0,0,0.00613814,0,0,0,0,0,0,0,0,-1.07953e-06,5.26489e-07,1.57484,1.57484,1
271,0.03794,-2.56741e-08,0,-6.61494e-06,3.43367e-06,-9.1053e-06,1.17666e-05,0.00614325,0,0,9.16457,0,-0.03206,1,1.00051,-3.161e-08,-1.96831e-07,2.28441e-07,1.07451e-07,-0.158785,1.61687e-07,0.158785,0,0,0,0,0.00614325,0,0,0,0,0,0,0,0,-1.08062e-06,5.28528e-07,1.57808,1.57808,1
272,0.03808,-2.57072e-08,0,-6.6195e-06,3.44488e-06,-9.00793e-06,1.16973e-05,0.00614943,0,0,9.16457,0,-0.03192,1,1.00051,-3.15107e-08,-1.96142e-07,2.27653e-07,1.06914e-07,-0.158029,1.60593e-07,0.158029,0,0,0,0,0.00614943,0,0,0,0,0,0,0,0,-1.08151e-06,5.30535e-07,1.5811,1.5811,1
273,0.03822,-2.57403e-08,0,-6.62406e-06,3.4561e-06,-8.91057e-06,1.16285e-05,0.00615561,0,0,9.16457,0,-0.03178,1,1.0005,-3.14115e-08,-1.95453e-07,2.26864e-07,1.06378e-07,-0.157273,1.59499e-07,0.157273,0,0,0,0,0.00615561,0,0,0,0,0,0,0,0,-1.0824e-06,5.32542e-07,1.58413,1.58413,1
274,0.03836,-2.57734e-08,0,-6.62861e-06,3.46731e-06,-8.8132e-06,1.156e-05,0.00616179,0,0,9.16457,0,-0.03164,1,1.0005,-3.13123e-08,-1.94764e-07,2.26076e-07,1.05841e-07,-0.156517,1.58405e-07,0.156517,0,0,0,0,0.00616179,0,0,0,0,0,0,0,0,-1.08328e-06,5.34549e-07,1.58715,1.58715,1
275,0.0385,-2.58065e-08,0,-6.63317e-06,3.47852e-06,-8.71584e-06,1.14919e-05,0.00616797,0,0,9.16457,0,-0.0315,1,1.0005,-3.1213e-08,-1.94075e-07,2.25288e-07,1.05305e-07,-0.155761,1.57311e-07,0.155761,0,0,0,0,0.00616797,0,0,0,0,0,0,0,0,-1.08417e-06,5.36556e-07,1.59018,1.59018,1
276,0.03864,-2.58397e-08,0,-6.63773e-06,3.48974e-06,-8.61847e-06,1.14243e-05,0.00617415,0,0,9.16457,0,-0.03136,1,1.00049,-3.11138e-08,-1.93386e-07,2.245e-07,1.04769e-07,-0.155005,1.56216e-07,0.155005,0,0,0,0,0.00617415,0,0,0,0,0,0,0,0,-1.08506e-06,5.38563e-07,1.5932,1.5932,1
277,0.03878,-2.58728e-08,0,-6.64228e-06,3.50095e-06,-8.52111e-06,1.13572e-05,0.00618033,0,0,9.16457,0,-0.03122,1,1.00049,-3.10146e-08,-1.92697e-07,2.23712e-07,1.04232e-07,-0.154248,1.55122e-07,0.154248,0,0,0,0,0.00618033,0,0,0,0,0,0,0,0,-1.08594e-06,5.4057e-07,1.59623,1.59623,1
278,0.03892,-2.59059e-08,0,-6.64684e-06,3.51217e-06,-8.42374e-06,1.12905e-05,0.00618651,0,0,9.16457,0,-0.03108,1,1.00048,-3.09153e-08,-1.92008e-07,2.22924e-07,1.03696e-07,-0.153492,1.54028e-07,0.153492,0,0,0,0,0.00618651,0,0,0,0,0,0,0,0,-1.08683e-06,5.42577e-07,1.59926,1.59926,1
279,0.03906,-2.5939e-08,0,-6.6514e-06,3.52338e-06,-8.32638e-06,1.12243e-05,0.00619269,0,0,9.16457,0,-0.03094,1,1.00048,-3.08161e-08,-1.9132e-07,2.22136e-07,1.03159e-07,-0.152736,1.52934e-07,0.152736,0,0,0,0,0.00619269,0,0,0,0,0,0,0,0,-1.08772e-06,5.44584e-07,1.60228,1.60228,1
280,0.0392,-2.59721e-08,0,-6.65595e-06,3.5346e-06,-8.22901e-06,1.11585e-05,0.00619887,0,0,9.16457,0,-0.0308,1,1.00047,-3.07168e-08,-1.90631e-07,2.21347e-07,1.02623e-07,-0.15198,1.5184e-07,0.15198,0,0,0,0,0.00619887,0,0,0,0,0,0,0,0,-1.08861e-06,5.46591e-07,1.60531,1.60531,1
281,0.03934,-2.60053e-08,0,-6.66051e-06,3.54581e-06,-8.13165e-06,1.10932e-05,0.00620505,0,0,9.16457,0,-0.03066,1,1.00047,-3.06176e-08,-1.89942e-07,2.20559e-07,1.02086e-07,-0.151224,1.50746e-07,0.151224,0,0,0,0,0.00620505,0,0,0,0,0,0,0,0,-1.08949e-06,5.48597e-07,1.60833,1.60833,1
282,0.03948,-2.60384e-08,0,-6.66507e-06,3.55702e-06,-8.03428e-06,1.10284e-05,0.00621123,0,0,9.16457,0,-0.03052,1,1.00047,-3.05184e-08,-1.89253e-07,2.19771e-07,1.0155e-07,-0.150468,1.49652e-07,0.150468,0,0,0,0,0.00621123,0,0,0,0,0,0,0,0,-1.09038e-06,5.50604e-07,1.61136,1.61136,1
283,0.03962,-2.60715e-08,0,-6.66962e-06,3.56824e-06,-7.93692e-06,1.09641e-05,0.00621741,0,0,9.16457,0,-0.03038,1,1.00046,-3.04191e-08,-1.88564e-07,2.18983e-07,1.01013e-07,-0.149712,1.48557e-07,0.149712,0,0,0,0,0.00621741,0,0,0,0,0,0,0,0,-1.09127e-06,5.52611e-07,1.61438,1.61438,1
284,0.03976,-2.61046e-08,0,-6.67418e-06,3.57945e-06,-7.83955e-06,1.09003e-05,0.00622359,0,0,9.16457,0,-0.03024,1,1.00046,-3.03199e-08,-1.87875e-07,2.18195e-07,1.00477e-07,-0.148955,1.47463e-07,0.148955,0,0,0,0,0.00622359,0,0,0,0,0,0,0,0,-1.09216e-06,5.54618e-07,1.61741,1.61741,1
285,0.0399,-2.61377e-08,0,-6.67874e-06,3.59067e-06,-7.74219e-06,1.0837e-05,0.00622977,0,0,9.16457,0,-0.0301,1,1.00045,-3.02207e-08,-1.87186e-07,2.17407e-07,9.99404e-08,-0.148199,1.46369e-07,0.148199,0,0,0,0,0.00622977,0,0,0,0,0,0,0,0,-1.09304e-06,5.56625e-07,1.62043,1.62043,1
286,0.04004,-2.61709e-08,0,-6.68329e-06,3.60188e-06,-7.64482e-06,1.07742e-05,0.00623595,0,0,9.16457,0,-0.02996,1,1.00045,-3.01214e-08,-1.86497e-07,2.16619e-07,9.9404e-08,-0.147443,1.45275e-07,0.147443,0,0,0,0,0.00623595,0,0,0,0,0,0,0,0,-1.09393e-06,5.58632e-07,1.62346,1.62346,1
287,0.04018,-2.6204e-08,0,-6.68785e-06,3.6131e-06,-7.54746e-06,1.0712e-05,0.00624213,0,0,9.16457,0,-0.02982,1,1.00044,-3.00222e-08,-1.85808e-07,2.1583e-07,9.88675e-08,-0.146687,1.44181e-07,0.146687,0,0,0,0,0.00624213,0,0,0,0,0,0,0,0,-1.09482e-06,5.60639e-07,1.62649,1.62649,1
288,0.04032,-2.62371e-08,0,-6.69241e-06,3.62431e-06,-7.45009e-06,1.06503e-05,0.00624831,0,0,9.16457,0,-0.02968,1,1.00044,-2.9923e-08,-1.85119e-07,2.15042e-07,9.8331e-08,-0.145931,1.43087e-07,0.145931,0,0,0,0,0.00624831,0,0,0,0,0,0,0,0,-1.0957e-06,5.62646e-07,1.62951,1.62951,1
289,0.04046,-2.62702e-08,0,-6.69696e-06,3.63552e-06,-7.35273e-06,1.05891e-05,0.00625449,0,0,9.16457,0,-0.02954,1,1.00044,-2.98237e-08,-1.8443e-07,2.14254e-07,9.77946e-08,-0.145175,1.41993e-07,0.145175,0,0,0,0,0.00625449,0,0,0,0,0,0,0,0,-1.09659e-06,5.64653e-07,1.63254,1.63254,1
290,0.0406,-2.63033e-08,0,-6.70152e-06,3.64674e-06,-7.25536e-06,1.05285e-05,0.00626067,0,0,9.16457,0,-0.0294,1,1.00043,-2.97245e-08,-1.83742e-07,2.13466e-07,9.72581e-08,-0.144419,1.40898e-07,0.144419,0,0,0,0,0.00626067,0,0,0,0,0,0,0,0,-1.09748e-06,5.6666e-07,1.63556,1.63556,1
291,0.04074,-2.63365e-08,0,-6.70608e-06,3.65795e-06,-7.158e-06,1.04685e-05,0.00626685,0,0,9.16457,0,-0.02926,1,1.00043,-2.96253e-08,-1.83053e-07,2.12678e-07,9.67217e-08,-0.143662,1.39804e-07,0.143662,0,0,0,0,0.00626685,0,0,0,0,0,0,0,0,-1.09837e-06,5.68667e-07,1.63859,1.63859,1
292,0.04088,-2.63696e-08,0,-6.71063e-06,3.66917e-06,-7.06063e-06,1.0409e-05,0.00627303,0,0,9.16457,0,-0.02912,1,1.00042,-2.9526e-08,-1.82364e-07,2.1189e-07,9.61852e-08,-0.142906,1.3871e-07,0.142906,0,0,0,0,0.00627303,0,0,0,0,0,0,0,0,-1.09925e-06,5.70674e-07,1.64161,1.64161,1
